datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-05-19 19:00:00,1.12363,1.12396,1.12294,1.12354,2977,0,0,EURUSD,H1,Monday,19
2025-05-19 20:00:00,1.12358,1.12388,1.12242,1.12302,2150,0,0,EURUSD,H1,Monday,20
2025-05-19 21:00:00,1.12303,1.12369,1.12247,1.1235,1898,0,0,EURUSD,H1,Monday,21
2025-05-19 22:00:00,1.12349,1.1242,1.1233,1.12402,1185,0,0,EURUSD,H1,Monday,22
2025-05-19 23:00:00,1.124,1.12449,1.12375,1.12378,1252,0,0,EURUSD,H1,Monday,23
2025-05-20 00:00:00,1.12333,1.12429,1.12328,1.12419,379,24,0,EURUSD,H1,Tuesday,0
2025-05-20 01:00:00,1.1242,1.12437,1.12349,1.12351,861,1,0,EURUSD,H1,Tuesday,1
2025-05-20 02:00:00,1.12352,1.12362,1.12315,1.12324,891,0,0,EURUSD,H1,Tuesday,2
2025-05-20 03:00:00,1.12321,1.12324,1.12179,1.1228,2545,0,0,EURUSD,H1,Tuesday,3
2025-05-20 04:00:00,1.12281,1.12513,1.12281,1.12384,3574,0,0,EURUSD,H1,Tuesday,4
2025-05-20 05:00:00,1.1239,1.12463,1.1226,1.1232199999999999,2499,0,0,EURUSD,H1,Tuesday,5
2025-05-20 06:00:00,1.12321,1.12474,1.12295,1.1245,2558,0,0,EURUSD,H1,Tuesday,6
2025-05-20 07:00:00,1.12449,1.12507,1.12404,1.12422,2458,0,0,EURUSD,H1,Tuesday,7
2025-05-20 08:00:00,1.12419,1.12585,1.12417,1.12546,4139,0,0,EURUSD,H1,Tuesday,8
2025-05-20 09:00:00,1.12546,1.1262699999999999,1.12508,1.12576,4719,0,0,EURUSD,H1,Tuesday,9
2025-05-20 10:00:00,1.12572,1.1278,1.1252900000000001,1.12764,5409,0,0,EURUSD,H1,Tuesday,10
2025-05-20 11:00:00,1.12761,1.12763,1.12475,1.12584,4281,0,0,EURUSD,H1,Tuesday,11
2025-05-20 12:00:00,1.12585,1.12672,1.125,1.12555,3858,0,0,EURUSD,H1,Tuesday,12
2025-05-20 13:00:00,1.12554,1.1258,1.12431,1.12445,3192,0,0,EURUSD,H1,Tuesday,13
2025-05-20 14:00:00,1.12448,1.12519,1.12438,1.12458,3261,0,0,EURUSD,H1,Tuesday,14
2025-05-20 15:00:00,1.12457,1.12473,1.12238,1.12345,5727,0,0,EURUSD,H1,Tuesday,15
2025-05-20 16:00:00,1.12342,1.12497,1.12249,1.12459,5984,0,0,EURUSD,H1,Tuesday,16
2025-05-20 17:00:00,1.12462,1.12692,1.12457,1.12684,7092,0,0,EURUSD,H1,Tuesday,17
2025-05-20 18:00:00,1.12685,1.12699,1.12497,1.1253199999999999,4270,0,0,EURUSD,H1,Tuesday,18
2025-05-20 19:00:00,1.12531,1.1258,1.12453,1.12568,2760,0,0,EURUSD,H1,Tuesday,19
2025-05-20 20:00:00,1.12568,1.12776,1.12548,1.1273900000000001,2425,0,0,EURUSD,H1,Tuesday,20
2025-05-20 21:00:00,1.1274,1.12806,1.1271200000000001,1.12725,2733,0,0,EURUSD,H1,Tuesday,21
2025-05-20 22:00:00,1.12728,1.12826,1.12719,1.12805,1758,0,0,EURUSD,H1,Tuesday,22
2025-05-20 23:00:00,1.12809,1.12854,1.12784,1.12819,1273,0,0,EURUSD,H1,Tuesday,23
2025-05-21 00:00:00,1.12798,1.12836,1.12779,1.12815,646,24,0,EURUSD,H1,Wednesday,0
2025-05-21 01:00:00,1.12816,1.1287099999999999,1.12802,1.12807,1720,1,0,EURUSD,H1,Wednesday,1
2025-05-21 02:00:00,1.12808,1.12901,1.12805,1.12883,1319,0,0,EURUSD,H1,Wednesday,2
2025-05-21 03:00:00,1.12885,1.13015,1.12876,1.12955,3297,0,0,EURUSD,H1,Wednesday,3
2025-05-21 04:00:00,1.1295600000000001,1.1302699999999999,1.12869,1.12985,3222,0,0,EURUSD,H1,Wednesday,4
2025-05-21 05:00:00,1.12985,1.1326,1.12974,1.13219,4704,0,0,EURUSD,H1,Wednesday,5
2025-05-21 06:00:00,1.13218,1.13397,1.1319,1.13341,3174,0,0,EURUSD,H1,Wednesday,6
2025-05-21 07:00:00,1.13336,1.13369,1.13256,1.13291,2562,0,0,EURUSD,H1,Wednesday,7
2025-05-21 08:00:00,1.1329,1.13381,1.13267,1.13321,3431,0,0,EURUSD,H1,Wednesday,8
2025-05-21 09:00:00,1.1332200000000001,1.13531,1.13222,1.13328,8915,0,0,EURUSD,H1,Wednesday,9
2025-05-21 10:00:00,1.13327,1.1334,1.13144,1.1323400000000001,5919,0,0,EURUSD,H1,Wednesday,10
2025-05-21 11:00:00,1.13235,1.13339,1.13123,1.13225,4234,0,0,EURUSD,H1,Wednesday,11
2025-05-21 12:00:00,1.13227,1.13349,1.1314899999999999,1.13349,3455,0,0,EURUSD,H1,Wednesday,12
2025-05-21 13:00:00,1.13354,1.13622,1.13316,1.13389,5410,0,0,EURUSD,H1,Wednesday,13
2025-05-21 14:00:00,1.13388,1.13448,1.13192,1.13238,3919,0,0,EURUSD,H1,Wednesday,14
2025-05-21 15:00:00,1.13239,1.13349,1.13175,1.13347,5474,0,0,EURUSD,H1,Wednesday,15
2025-05-21 16:00:00,1.13348,1.13391,1.13233,1.1337,5879,0,0,EURUSD,H1,Wednesday,16
2025-05-21 17:00:00,1.13369,1.13544,1.13324,1.13408,6986,0,0,EURUSD,H1,Wednesday,17
2025-05-21 18:00:00,1.13406,1.13484,1.13325,1.13427,4784,0,0,EURUSD,H1,Wednesday,18
2025-05-21 19:00:00,1.13423,1.13521,1.1339,1.13404,2696,0,0,EURUSD,H1,Wednesday,19
2025-05-21 20:00:00,1.13405,1.13629,1.13377,1.13482,5677,0,0,EURUSD,H1,Wednesday,20
2025-05-21 21:00:00,1.13481,1.13489,1.13317,1.13333,3003,0,0,EURUSD,H1,Wednesday,21
2025-05-21 22:00:00,1.1333199999999999,1.1339299999999999,1.13184,1.1319,3361,0,0,EURUSD,H1,Wednesday,22
2025-05-21 23:00:00,1.13189,1.13316,1.13157,1.13272,1322,0,0,EURUSD,H1,Wednesday,23
2025-05-22 00:00:00,1.13242,1.13284,1.13222,1.13259,408,40,0,EURUSD,H1,Thursday,0
2025-05-22 01:00:00,1.1326,1.13297,1.1315,1.13152,2477,1,0,EURUSD,H1,Thursday,1
2025-05-22 02:00:00,1.13151,1.13325,1.1311,1.1332,2108,0,0,EURUSD,H1,Thursday,2
2025-05-22 03:00:00,1.13321,1.13435,1.1326100000000001,1.13273,5461,0,0,EURUSD,H1,Thursday,3
2025-05-22 04:00:00,1.13272,1.13407,1.1317300000000001,1.13379,4845,0,0,EURUSD,H1,Thursday,4
2025-05-22 05:00:00,1.13377,1.1345,1.13284,1.13388,4311,0,0,EURUSD,H1,Thursday,5
2025-05-22 06:00:00,1.13389,1.13421,1.13307,1.1333199999999999,3151,0,0,EURUSD,H1,Thursday,6
2025-05-22 07:00:00,1.13329,1.13345,1.13247,1.13331,2870,0,0,EURUSD,H1,Thursday,7
