datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-04-15 16:00:00,1.3223099999999999,1.3246,1.3205,1.32119,18891,6,0,GBPUSD,H4,Tuesday,16
2025-04-15 20:00:00,1.32119,1.32342,1.32059,1.32313,8760,6,0,GBPUSD,H4,Tuesday,20
2025-04-16 00:00:00,1.32203,1.32537,1.32149,1.32462,7052,6,0,GBPUSD,H4,Wednesday,0
2025-04-16 04:00:00,1.32463,1.3266499999999999,1.32427,1.32641,8912,6,0,GBPUSD,H4,Wednesday,4
2025-04-16 08:00:00,1.32643,1.32908,1.32568,1.32889,15802,6,0,GBPUSD,H4,Wednesday,8
2025-04-16 12:00:00,1.3289,1.32918,1.3250199999999999,1.32595,14785,6,0,GBPUSD,H4,Wednesday,12
2025-04-16 16:00:00,1.32596,1.32712,1.3226200000000001,1.32334,15865,6,0,GBPUSD,H4,Wednesday,16
2025-04-16 20:00:00,1.3232300000000001,1.32492,1.32119,1.32385,13091,6,0,GBPUSD,H4,Wednesday,20
2025-04-17 00:00:00,1.32342,1.32453,1.32108,1.32118,6621,6,0,GBPUSD,H4,Thursday,0
2025-04-17 04:00:00,1.32118,1.32294,1.32025,1.32094,8148,6,0,GBPUSD,H4,Thursday,4
2025-04-17 08:00:00,1.32094,1.32473,1.32032,1.32394,13365,6,0,GBPUSD,H4,Thursday,8
2025-04-17 12:00:00,1.32393,1.325,1.32171,1.32492,14356,6,0,GBPUSD,H4,Thursday,12
2025-04-17 16:00:00,1.32491,1.32729,1.32271,1.32577,18356,6,0,GBPUSD,H4,Thursday,16
2025-04-17 20:00:00,1.32577,1.32724,1.32467,1.32642,8670,6,0,GBPUSD,H4,Thursday,20
2025-04-18 00:00:00,1.32596,1.32837,1.32496,1.32809,11398,7,0,GBPUSD,H4,Friday,0
2025-04-18 04:00:00,1.32806,1.32834,1.32641,1.32687,39968,6,0,GBPUSD,H4,Friday,4
2025-04-18 08:00:00,1.3269,1.32786,1.32577,1.32706,36744,6,0,GBPUSD,H4,Friday,8
2025-04-18 12:00:00,1.3272599999999999,1.3280699999999999,1.32652,1.32766,32215,6,0,GBPUSD,H4,Friday,12
2025-04-18 16:00:00,1.3276,1.32857,1.32704,1.32842,27728,6,0,GBPUSD,H4,Friday,16
2025-04-18 20:00:00,1.3283800000000001,1.32984,1.3278400000000001,1.32916,17074,6,0,GBPUSD,H4,Friday,20
2025-04-21 00:00:00,1.3272599999999999,1.33554,1.3268,1.3346,7509,6,0,GBPUSD,H4,Monday,0
2025-04-21 04:00:00,1.3346,1.33864,1.3342,1.33827,8717,6,0,GBPUSD,H4,Monday,4
2025-04-21 08:00:00,1.33827,1.34158,1.33718,1.34146,11673,6,0,GBPUSD,H4,Monday,8
