datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-05-21 14:00:00,1.13387,1.13446,1.13191,1.13238,2792,2,0,EURUSD,H1,Wednesday,14
2025-05-21 15:00:00,1.13243,1.13348,1.13174,1.13346,3682,2,0,EURUSD,H1,Wednesday,15
2025-05-21 16:00:00,1.13347,1.13388,1.13232,1.13369,3974,2,0,EURUSD,H1,Wednesday,16
2025-05-21 17:00:00,1.13368,1.13542,1.13323,1.13407,4438,2,0,EURUSD,H1,Wednesday,17
2025-05-21 18:00:00,1.13407,1.13483,1.13324,1.13426,3307,2,0,EURUSD,H1,Wednesday,18
2025-05-21 19:00:00,1.13426,1.1352,1.1339,1.13403,2040,2,0,EURUSD,H1,Wednesday,19
2025-05-21 20:00:00,1.13403,1.13628,1.13376,1.13481,3865,2,0,EURUSD,H1,Wednesday,20
2025-05-21 21:00:00,1.1348,1.1348799999999999,1.13317,1.1333199999999999,2344,2,0,EURUSD,H1,Wednesday,21
2025-05-21 22:00:00,1.13331,1.13392,1.13183,1.13189,2444,2,0,EURUSD,H1,Wednesday,22
2025-05-21 23:00:00,1.13188,1.13314,1.13155,1.13299,1013,3,0,EURUSD,H1,Wednesday,23
2025-05-22 00:00:00,1.13228,1.13285,1.13228,1.1326,357,39,0,EURUSD,H1,Thursday,0
2025-05-22 01:00:00,1.1326,1.13297,1.13151,1.13152,1899,2,0,EURUSD,H1,Thursday,1
2025-05-22 02:00:00,1.13152,1.13324,1.13111,1.13319,1641,2,0,EURUSD,H1,Thursday,2
2025-05-22 03:00:00,1.13321,1.13434,1.1326,1.13272,3537,2,0,EURUSD,H1,Thursday,3
2025-05-22 04:00:00,1.13272,1.13406,1.13172,1.13378,3329,2,0,EURUSD,H1,Thursday,4
2025-05-22 05:00:00,1.13375,1.13448,1.13284,1.13387,3040,2,0,EURUSD,H1,Thursday,5
2025-05-22 06:00:00,1.13389,1.1342,1.13307,1.13331,2298,2,0,EURUSD,H1,Thursday,6
2025-05-22 07:00:00,1.13325,1.13344,1.13246,1.1333,2077,2,0,EURUSD,H1,Thursday,7
